Sweep #,Time,Chan101,Chan102,Chan103,Chan104,Chan105,Chan106
309,56:42.6,1.9274173,19.8619024,19.7030206,19.6862354,19.717398,19.6014526
310,56:52.6,1.92729804,19.8549739,19.7059861,19.6897872,19.7164191,19.7846352
311,57:02.6,1.92715014,19.8836879,19.7055815,19.7092128,19.7380993,19.6591894
312,57:12.6,1.92697534,19.8913333,19.7341943,19.7234046,19.7478364,19.8295525
313,57:22.6,1.92687279,19.8752569,19.7210813,19.7096483,19.7467078,19.6154667
314,57:32.6,1.92668774,19.8951922,19.7372857,19.7381493,19.7586377,19.825454
315,57:42.6,1.9265343,19.9104428,19.7545715,19.74122,19.7841755,19.6955409
316,57:52.6,1.92635283,19.9237335,19.7842811,19.7636931,19.798158,19.8500721
317,58:02.6,1.92628365,19.9221967,19.7881341,19.7612887,19.7953649,19.6328608
318,58:12.6,1.92614695,19.9297185,19.7818457,19.7783201,19.7897669,19.7993661
